Ryzen 3-4300U,Độ phân giải màn hình,Core i5-10210U,Core i7-9750HGTX 1650 4GB144Hz,Core i5-10300HGTX 1650 4GB 144Hz,8GB - 512GB VGA 3050,Ryzen 7-5800H  RTX3050 4GB - 165Hz,Loại card đồ họa,15 Inches512GB,Độ phân giải ,R5-5500U  8GB - 256GB,7GPU  16GB - 256GB,"Core i5-1135G7512GB - 14""",1star,Core i5-10210U8GB - 512GB,Cổng giao tiếp,Core i5-1035G7 8 GB / 128 GB,Loại RAM,M1 Pro  10 CPU - 16 GPU  16GB - 512GB,Core i5 1.4Ghz512GB,8GB - 256GB  VGA 1650,Chất liệu,Core i7-1065G716GB - 256GB,Kích thước màn hình,Core i7-1165G7  16GB - 1TB SSD,8GPU16GB - 512GB,Core i716GB - 1TB,Ryzen 5-4600HGTX1 650Ti 4GB - 144Hz,Kích thước, Core i5-10300HGTX 1650 4GB120Hz,I5-1135G7 8GB - 256GB,Ryzen 5-5600HGTX1650 4GB - 144Hz,3star,8GPU8GB - 512GB,Trọng lượng,Core i5-1035G48GB - 256GB,Core i7-10510U,Core i7-10750HGTX 1660Ti 6GB144Hz,Core i716GB - 512GB,R5-5600H - 144Hz - VGA 4GB RX5500M,special_price,Core i5-10300H  GTX1650TI - 144HZ,Ryzen 5-4680U 8 GB / 256 GB,Chất liệu tấm nền,Ryzen 5-5600H RTX3050 4GB - 165Hz,"i5-1135G 14""Intel Iris Xe Graphics",Core i7-10510U8GB - 1TB,17 Inches512GB,Core i5 2Ghz512GB,128GB,Pin,"Core i7-10750HRTX 2060 16GB15.6"" 144Hz",M1 Max  10 CPU - 32 GPU,16GB - 256GB,14 Inches256GB,Core i5-1035G7  8 GB / 256 GB,I5-11400H - VGA 4GB RTX3050TI - 144Hz,Core i7-10750HGTX 1650Ti 4GB144Hz,Core i3-10110U,Bluetooth,I3-1115G48GB - 128GB,Core i7-11370HRTX 3050Ti 4GB144Hz,Ryzen 5-4600HGTX 1650 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050 - 144Hz,Ryzen 7-3700U8GB - 512GB,Đèn bàn phím,Core i58GB - 256GB,Hệ điều hành,5star,"i7-1165G7 14""Intel Iris Xe Graphics",Core i7-11370HGTX1650 4GB - 144Hz,Màn hình cảm ứng,4star,M1 Pro  8 CPU - 14 GPU  16GB - 512GB ,Ryzen 7-3750H8GB - 512GB,"Core i5-1135G7256GB - 14""",Core i3-1115G48GB - 512GB,Core i7-1165G78GB - 512GB,Ryzen 5-3550H8GB - 512GB,"i5-10210U 13.3""Intel UHD Graphics",Core i5-1135G716GB - 512GB,Loại CPU,7GPU8GB - 256GB,R7-5800H - 144Hz - VGA 4GB RX5500M,Core i7-9750HGTX 1650 4GB120Hz,Wi-Fi,R5-4600H  GTX 1650 4GB,8GPU8GB - 256GB,Ryzen 3-3250U4GB - 256GB,old_price,Core i516GB - 512GB,Core i7-10750HGTX 1650Ti 4GB 120Hz,256 GB,I5-1135G7 - 8GB - 512GB ,Core i7-10750HGTX1650 4GB - 144Hz,Công nghệ âm thanh,I7-11370H - /VGA 4GB RTX3050 - 120Hz,14 Inches512GB,I3-1115G4 4GB - 128GB,Core i5 1.4Ghz256GB,Core i5-1135G78GB - 128GB,Core i7-10870HGTX 1650Ti144Hz,comment_count,8GPU16GB - 256GB,8GB - 512GB,2star,Ryzen 5-3500U8GB - 512GB,Core i7-1165G716GB - 1TB,PENT N5030  4GB - 128GB,url,Dung lượng RAM,Webcam,Core i5-1135G78GB - 512GB,"Core i5-1135G7512GB - 15.6""VGA 2GB",I5-11400H - VGA 6GB RTX3060 - 144Hz,R5-4600H - 144Hz - VGA 3GB RX5300M ,"Core i7-10750HRTX 2070 8GB15.6"" 300Hz",I5-11300H - VGA 4GB RTX3050 - 120HZ,Core i7-10750HGTX 1650Ti 4GB - 120Hz,I3-1005G1  4GB - 128GB,Core i5-10300HGTX 1650Ti 4GB120Hz,"Core i5-1135G7512GB - 15.6""",I5-11400H - VGA 4GB RTX3050 - 144Hz,M1 Pro  10 CPU - 16 GPU  16GB - 1TB,Khe đọc thẻ nhớ,Tính năng đặc biệt,16GB - 512GB,"i5-1035G 15.6""NVIDIA GeForce MX350 2GB",Core i3-1115G44GB - 256GB,Công nghệ màn hình,Ryzen 7-4800HGTX 1650 4GB120Hz,R5-4600H1650Ti 4GB + 144Hz,I5-1035G1  8GB - 256GB,Core i5-10300HGTX1650TI 4GB144Hz,item_name,8GB - 256GB,Ryzen 5-3500U4GB - 256GB,Ryzen 5-4500U8GB - 512GB,"Core i3-1115G4256GB - 14""",Core i5-1035G48GB - 128GB,Ryzen 7-5800HRTX 3060 6G - 144Hz,Core i5-11300HGTX1650 4GB - 144Hz,Core i716GB - 256GB,Ryzen 5-4500U,Core i7-10870HGTX 1660Ti 6GB144Hz,Ryzen 7-4800HGTX 1650Ti 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050TI - 144Hz,Core i3-1005G14GB - 128GB,Ryzen 5 Pro-4650U8GB - 512GB,Ryzen 7-4800HGTX 1660Ti 6GB144Hz,"Core i5-10300HGTX 1650 4GB15.6"" 120Hz",Core i58GB - 512GB,I7-1165G7 - 16GB - 512GB,Ổ cứng
,2560 x 1600 pixels (2K),,,,,,"GPU 7 nhân, 16 nhân Neural Engine",,Retina,,,,0,,2 cổng Thunderbolt / USB 4,,LPDDR4,,,,Vỏ kim loại,,13.3 inches,,,,,1.61 cm x 30.41 cm x 21.24 cm,,,,0,,1.29 kg,,,,,,26.990.000,,,Tấm nền IPS,,,,,,,"49.9-watt-hour lithium-polymer, củ sạc công suất 30W",,,33.990.000,,,,,,Bluetooth 5.0,,,,,,Có,,macOS Big Sur,7,,,Không,4,,,,,,,,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,,802.11ax Wi-Fi 6 wireless networking,,,,28.990.000,,,,,,"3 microphones, headphones, loa kép (2 kênh)",,,,,,,599,,33.500.000,0,,,,https://cellphones.com.vn/macbook-air-2020-m1.html,8GB,,,,,,,,,,,,,,Không,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",39.500.000,,,Độ sáng 400 nits Hỗ trợ dải màu P3 True-Tone,,,,,Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,26.990.000,,,,,,,,,,,,,,,,,,256GB SSD
,2560 x 1600 pixel (2K),,,,,,"8 nhân GPU, 16 nhân Neural Engine",,Retina,,,,0,,2 cổng Thunderbolt / USB 4 ports,,,,,,,,13.3 inches,,,,,1.56 cm x 30.41 cm x 21.24 cm,,,,0,,1.4 kg,,,,,,34.200.000,,,Tấm nền IPS,,,,,,,"58.2-watt-hour lithium-polymer, 61W USB-C Power Adapter",,,41.000.000,,,,,,Bluetooth 5.0,,,,,,Có,,macOS Big Sur,1,,,Không,0,,,,,,,,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,,802.11ax Wi-Fi 6,,,,35.990.000,,,,,,"2 loa, Dolby Atmos",,,,,,,244,,39.000.000,0,,,,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html,8GB,HD webcam,,,,,,,,,,,,,Không,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",46.000.000,,,Độ sáng 500 nits Hỗ trợ dải màu P3 True-Tone,,,,,Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,34.200.000,,,,,,,,,,,,,,,,,,256GB SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel® UHD Graphics,,Full HD,,,,0,,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x Headphone out",,"DDR4 2666MHz, 1 khe cắm, hỗ trợ tối đa 12GB",,,,Vỏ kim loại,,15.6 inches,,,,,35.90 x 23.50 x 1.79 ~ 1.79 cm,,,,0,,1.80 kg,,,,,,15.160.000,,,Tấm nền IPS,,,,,,,"3 Cell, 42 Wh ",,,,,,,,,Bluetooth 5.0,,,,,,Không,,Windows 10 Home SL,3,,,Không,1,,,,,,,,,"Intel® Core™ i3-1115G4, up to 4.1 GHz, 2 cores 4 threads, 6MB Cache",,,,Intel Wi-Fi 6(Gig+)(802.11ax),,,,15.390.000,,,,,,Audio by Harman/Kardon,,,,,,,163,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ea-i3-ram-4gb.html,4GB,HD webcam,,,,,,,,,,,,,Có,"Ổ cứng SSD, Bảo mật vân tay",,,,"15.6-inch FHD (1920 x 1080) 16:9, 250nits, Anti-glare display",,,,,Laptop ASUS VivoBook 15 A515EA,,,,,,,,,,,,,,,,,,,512GB M.2 NVMe™ PCIe® 3.0 SSD
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA GeForce GTX 1650 4GB GDDR6,,Full HD,,,,0,,1x Type C USB 3.2 Gen 2 with Power Delivery and Display Port 3x USB 3.2 Gen 1 Type-A 1x HDMI 2.0b 1x 3.5mm Combo Audio Jack 1x RJ45 LAN Jack,,"DDR4 3200MHz, 2 khe cắm tối đa 32GB",,,,Vỏ nhựa,,15.6 inches,,,,,35.4 x 25.9 x 2.26 ~ 2.72 (cm),,,,0,,2.3 kg,,,,,,23.090.000,,,Tấm nền IPS,,,,,,,4 Cell 56WHrs,,,,,,,,,,,,,,,Có,,Windows 10 Home SL ,1,,,Không,1,,,,,,,,,AMD Ryzen 7 4800H 2.9GHz up to 4.2GHz 8MB,,,,Intel 802.11ax (2x2) Wi-Fi 6 (Gig+),,,,23.490.000,,,,,,Dolby Atmos,,,,,,,138,,,0,,,,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ih-hn015t.html,8GB,,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,"Tần số quét 144Hz, màn hình chống loá",,,,,Laptop ASUS Gaming ROG Strix G15 G513IH-HN015T,,,,,,,,,,,,,,,,,,,512GB SSD PCIE G3X4 (Còn trống 2 khe SSD M.2 PCIE)
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Xe Graphics,,Full HD,,,,0,,2x Thunderbolt 4 USB-C (up to 40Gbps) 1x USB 3.2 Gen 1 Type-A (up to 5Gbps) 1x Standard HDMI 2.0a,,"LPDDR4X 4266MHz, không hỗ trợ nâng cấp",,,,Vỏ kim loại,,14 inches,,,,,31.9 x 20.8 x 1.39 (cm),,,,0,,1.17kg,,,,,,23.690.000,,,Tấm nền IPS,,,,,,,4 Cell 67WHr Lithium-Polymer,,,,,,,,,Bluetooth 5.0,,,,,,Có,,Windows 10 Home SL,2,,,Không,1,,,,,,,,,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,,,,Intel WiFi 6 with Gig+ performance (802.11ax),,,,24.690.000,,,,23.690.000,,Audio by Harman/Kardon,,,,,,,122,,,0,,,,https://cellphones.com.vn/laptop-asus-zenbook-14-ux425ea-ki429t.html,8GB,Camera IRHD webcam,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Nhận diện khuôn mặt",,,,"Màn hình chống lóa, 100% sRGB, 400nits",,,,,Laptop ASUS Zenbook UX425EA,,,,,,,,,,,,,,,,,,29.490.000,512GB SSD M.2 PCIE G3X2
,1080 x 1920 pixels (FullHD),,,,,,NVIDIA GeForce GTX 1650 4GB GDDR6,,Full HD,,,,0,,2 x USB 3.2 Gen 1  1 x USB-C 3.2 Gen 1  Kết nối HDMI/VGA  1 x HDMI 2.0  1 x headphone/microphone combo jack (3.5mm),,"DDR4 2933MHz, 2 khe, hỗ trợ tối đa 16GB",,,,,,15.6 inches,,,,,359 x 249.6 x 24.9 mm,19.160.000,,,0,,2.2kg,,,,,,19.160.000,,,Tấm nền IPS,,,,,,, 3Cell 45WHrs,,,,,,,,,v5.0,,,,,,Có,,Window 10,1,,,Không,0,,,,,,,,,Intel Core i5-10300H,,,, 802.11ax 2x2,17.820.000,,,21.990.000,,22.290.000,,,,"HD Audio, Dolby Audio, stereo speakers, 1.5W x 2",,,,,,,295,,,0,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15imh05-81y400x0vn.html,8GB,720p,,,,,,,,,20.590.000,,,,,"Công nghệ Intel Gaming, Ổ cứng SSD",,,,"IPS, độ sáng 250nits chống chói, tần số quét 120Hz",19.990.000,,,,Laptop Lenovo Ideapad Gaming 3 15IMH05 81Y400X0VN,,,,,,,,,,,,,,,,,,,512GB SSD
,1920 x 1080 pixels (FullHD),,,,,,Radeon RX5300M 3GB,,Full HD,,,,0,,"1x (4K @ 30Hz) HDMI, 1x RJ45, 1x Type-C USB3.2 Gen1, 3x Type-A USB3.2 Gen1",,"DDR4 3200Mhz, 2 khe cắm, hỗ trợ tối đa 32GB",,,,,,15.6 inches,,,,,359 x 254 x 21.7 mm,,,,1,,1.8 kg,,,,,21.190.000,19.090.000,,,,,,,,,,3 Cell,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL,4,,,Không,2,,,,,,,,,AMD Ryzen 5 – 4600H,,23.990.000,,Intel Wi-Fi 6 AX201(2*2 ax),,,,19.490.000,,,,,, Loa,,,,,,,250,,,0,,,,https://cellphones.com.vn/laptop-msi-gaming-bravo-15-a4dcr.html,8GB,720p FaceTime HD camera,,,,19.090.000,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",,,,"15.6"" FullHD (1920 x 1080). 144Hz, IPS Panel",,,,,Laptop MSI Gaming BRAVO 15 A4DCR-270VN,,,,,,,,,,,,,,,,,,,"256GB SSD NVMe M.2 PCIe Gen 3×2, 1 slot SSD NVMe M.2 PCIe Gen3 X4 hoặc M.2 SATA II"
,1080 x 1920 pixels (FullHD),,,,,,Nvidia GTX1650Ti 4GB,,Full HD,,,,0,,"1x Mic-In, 1x Headphone-Out, RJ45, Card Reader, HDMI (4K @ 30Hz), Mini-DisplayPort, USB 3.2 Gen 1 Type C, USB 3.2 Gen 1 Type A",,"DDR4 3200Mhz, 2 khe cắm, hỗ trợ tối đa 32GB",,,,,,17.3 inches,,,,,398.5 x 272 x 28 mm,,,,2,,"2,60 Kg",,,,,,21.390.000,,,Tấm nền IPS,,,,,,,41 Whrs ,,,,,,,,,v5.1,,,,,,Có,,Windows 10,2,,,Không,2,,,,,,,,,Intel Core I5-10200H 2.4Ghz,,,,802.11 ax Wi-Fi 6 ,,,,24.490.000,,,,,,,,,,,,,173,,,0,,,,https://cellphones.com.vn/laptop-msi-gaming-gl75-leopard-10scsk-056vn.html,8GB,HD type (30fps@720p),,,,,,,,,,,,,,"Công nghệ Intel Gaming, Ổ cứng SSD, Viền màn hình siêu mỏng",,,,Màn hình LCDTần số quét 144hz,,,,,Laptop MSI Gaming GL75 Leopard 10SCSK 056VN,,,,,,,,,,,,,,,,,,,512GB SSD 
,1440 x 900 pixels,,,,,,Intel HD Graphics 6000,,Retina,,,,0,,2 cổng USB 3 1 cổng Thunderbolt 2Cổng sạc Magsafe 2,,,,,,,,13.3 inches,,,,,32.5 x 22.7 x 1.7 cm (12.8 x 8.94 x 0.68 in),,,,0,,1.35 kg (2.96 lb),,,,,,20.000.000,,,,,,,,,,Li-Po 54 Wh,,,,,,,,,4.0,,,,,,,,OS X Sierra,0,,,Không,0,,,,,,,,,"Intel Core i5 2 nhân tốc độ 1.8 GHz, Turbo Boost lên đến 2.9 GHz, 3 MB L3 cache",,,,Wi-Fi 802.11 b/g/n/ac,,,,21.000.000,,,,,,,,,,,,,296,,,0,,,,https://cellphones.com.vn/apple-macbook-air-13-inch-128-gb-mqd32-chinh-hang.html,8GB,,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,,,,,,Apple MacBook Air 13 inch 128GB MQD32 I Chính hãng Apple Việt Nam,,,,,,,,,,,,,,,,,,,128GB SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel UHD G1,,Full HD,,,,0,,"HDMI, audio + mic combo, thẻ nhớ microSD, USB-A 3.0, USB 3.1 Type-C",,"DDR4- 2400, không hỗ trợ nâng cấp",,,,Vỏ nhựa,,14 inches,,,,,32 x 21 x 1.8 cm,,,,0,,1.4 kg,,,,,,11.950.000,,,Tấm nền IPS,,,,,,,42W,,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"Core i3-1005G1 (2 nhân 4 luồng), Turbo 3.4 GHz, 4MB Cache",,,,WiFi 6,,,,12.990.000,,,,,,SonicMaster ,,,,,,,105,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-x413ja.html,4GB,VGA,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,,,,,,Laptop ASUS VivoBook X413JA,,,,,,,,,,,,,,,,,,,128 SSD NVMe (max 1 ổ)
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA GeForce GTX 1650 4GB GDDR6,,Full HD,,,,0,,"1x Type C USB 3.2 Gen 2 2x Type A USB 3.2 Gen 1 1x Type C USB 3.2 Gen 2 with Power Delivery, Display Port and G-Sync 1 x HDMI 2.0b Giắc cắm âm thanh kết hợp 1 x 3,5 mm",,DDR4 3200MHz 8GB onboard + 1 khe trống,,,,Vỏ kim loại,,14 inches,,,,,32.4(W) x 22.0(D) x 1.79(H) cm,,,,0,,1.7 KG,,,,,,27.990.000,,,Tấm nền IPS,,,,,,,"4-cell, 76WHrs",,,,,,,,,Bluetooth 5.1,,,,,,Có,,Windows 10 Home,3,,,Không,0,,,,,,,,,"AMD Ryzen 7-5800HS 2.8GHz up to 4.4GHz, 8 cores 16 threads",,,,Intel Wi-Fi 6(Gig+) 2x2,,,,28.990.000,,,,,,Dolby Atmos,,,,,,,116,,,0,,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qh-hz035t.html,8GB,Không tích hợp,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",,,,"Tần số quét 144Hz, 100% sRGB",,,,,Laptop ASUS Gaming ROG Zephyrus G14 GA401QH-HZ035T,,,,,,,,,,,,,,,,,,, 512GB SSD M.2 NVMe PCIe
,2736 x 1824 pixels,,,,,,Intel® Iris® Plus Graphics,,,,,,0,,1 x Surface Connect 1 x Headset jack  1 x Cover port,,LPDDR4X 3733 MHz,,,,Vỏ kim loại,33.810.000,12.3 inches,,,,,292 mm x 201 mm x 8.5 mm,,,,1,,776 g,24.990.000,,,,,20.990.000,,,Tấm nền IPS,,,,,,,"43.2 Wh, 60W power supply with USB-A (5W) (65W total) , Supports Fast Charge (0-80% in just over one hour)",,,,,,,,,Bluetooth Wireless 5.0 technology,,,,,,,,Windows 10 Home,2,,,Có,0,,,,,,,,,10th Gen Intel® Core™ i5-1035G4,,,,Wi-Fi 6: IEEE 802.11 a/b/g/n/ac/ax compatible,,,,23.990.000,,,,,,"Dolby Audio, 2 Loa",,,,,25.490.000,,120,,,0,,,,https://cellphones.com.vn/surface-laptop-pro-7-core-i5-ram-8gb-ssd-128gb-12-3inch.html,8GB,"Camera trước: 5.0MP, 1080p Full HD video  Camera sau: 8.0MP, 1080p full HD",,,,,,,,,,,,,,"Ổ cứng SSD, Wi-Fi 6, Xoay gập 360 độ (2 in 1), Màn hình cảm ứng, Viền màn hình siêu mỏng, Nhận diện khuôn mặt",,,,"PixelSense™ Display , Aspect ratio: 3:2",,,,,Surface Pro 7 Core i5 / 8GB / 128GB Chính Hãng,,,,,20.990.000,,,,,,,,15.990.000,,,,,,128GB BGA PCIe SSD
,1920 x 1080 pixels (FullHD),,,,,,AMD Radeon™ Graphics,,Full HD,,,,0,,"2 USB 3.2 Gen1 Type-A ports, 1 USB 2.0 port, 1 HDMI 1.4 port, 1x jack 3.5mm",,,,,,,,14 inches,,,,,32.8 x 23.9 x 1.99 cm,,,,0,,1.6 Kg,,,,,,17.990.000,,,,,,,,,,3 cell - 45Whr,,,,,,,,,v5.0,,,,,Giá liên ,,,Windows 10 Home SL,3,,,Không,0,,,,,,,,,"AMD Ryzen™ 5-3500U, 2.10GHz upto 3.70GHz, 4 MB cache, 4 cores 8 threads",,,,802.11ac 1x1 WiFi ,,,,18.490.000,,,,,,,,,,,,,87,,,0,17.990.000,,,https://cellphones.com.vn/laptop-dell-vostro-3405-ryzen-5.html,8GB,,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,14.0 inch FHD (1920 x 1080) Anti-Glare,,,,,Laptop Dell Vostro 3405 V4R53500U003W,,15.690.000,,,,,,,,,,,,,,,,,512SSD M2 PCIe NVMe
,1920 x 1080 pixels (FullHD),,,,,, Intel UHD Graphics,,Full HD,,,,0,,1 x SuperSpeed USB Type-C® 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x HDMI 1.4b 1 x Combo jack tai nghe 3.5mm,,"DDR4-2666 MHz RAM (1 x 4 GB), 1 khe cắm hỗ trợ tối đa 8gb",,,,Vỏ nhựa,,14 inches,,,,,32.4 x 22.5 x 1.79 cm,,,,0,,1.46 kg,,,,,,13.590.000,,,,,,,,,,"3-cell, 41 Wh Li-ion",,,,,,,,,v4.2,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel Core i3-1115G4,,,,Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1),,,,13.990.000,,,,,,2 Loa 2W,,,,,,,138,,,0,,,,https://cellphones.com.vn/laptop-hp-14-dq2055wm-39k15ua.html,4GB,HP True Vision 720p HD camera,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,"Màn hình chống chói, 250 nits, 45% NTSC",,,,,Laptop HP 14-DQ2055WM 39K15UA - Nhập khẩu chính hãng,,,,,,,,,,,,,,,,,,,256 GB PCIe NVMe M.2 SSD
,1366 x 768 pixels (HD+),,,,,, Intel® UHD Graphics 600,,HD,,,,0,,1 cổng USB 3.2 Gen 1 Type-A  1 cổng USB 3.2 Gen 1 Type-C 2 cổng USB 2.0 Type-A,,"DDR4 2666MHz, 1 khe cắm, hỗ trợ tối đa 8GB",,,,,,14 inches,,,,,328 x 246 x 21.9 ~22.9 mm,,,,0,,1.5kg,,,,,,9.390.000,,,,,,,,,,"2-cell, 37WHrs",,,,,,,,,Bluetooth 4.1 (Dual band) 1*1,,,,,,Không,,Windows 10 Home SL,0,,,Không,0,,,,,,,,,"Intel Pentium Silver N5030, tốc độ 1.1 GHz tối đa lên đến 3.1 GHz, bộ nhớ đệm 4MB",,,,Wi-Fi 5(802.11ac),,,,,,,,,,"ASUS SonicMaster stereo, 2 loa",,,,,,,136,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-x415ma-pentium-n5030.html,4GB,VGA Web Camera,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,"Anti-glare display, LED Backlit, 200nits, NTSC: 45%",,,,,Laptop ASUS VivoBook X415MA-BV088T,,,,,,,,,,,,,,,,,,,256GB M.2 NVMe PCIe® 3.0 SSD
,1080 x 1920 pixels (FullHD),,,,,,NVIDIA GeForce GTX 1650 4GB,,Full HD,,,,0,,2x USB 3.1 Gen 1  1x USB 3.1 Type-C Gen 1 1x HDMI 2.0  1x RJ-45,," DDR4 3200MHz, 2 khe cắm, hỗ trợ lên đến 16GB",,,,,,15.6 inches,,,,,359 x 249.6 x 24.9 (mm),19.160.000,,,0,,2.2 kg,,,,,,17.820.000,,,Tấm nền IPS,,,,,,,3 Cell 45WHr,,,,,,,,,v5.0,,,,,,Có,,Windows 10 ,2,,,Không,1,,,,,,,,,AMD Ryzen 5 4600H,,,,802.11AC (2x2),17.820.000,,,18.690.000,,22.290.000,,,,"2 Loa, HD Audio, Dolby Audio",,,,,,,226,,,0,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15arh05-82ey00jxvn.html,8GB,HD 720p,,,,,,,,,20.590.000,,,,,Ổ cứng SSD,,,,"IPS, độ sáng 250nits, chống chói, tần số quét 120Hz",19.990.000,,,,Laptop Lenovo Ideapad Gaming 3 15ARH05 82EY00JXVN,,,,,,,,,,,,,,,,,,,256GB SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel® Iris® Plus,,Full HD,,,,0,,USB 2.0 USB 3.0 USB Tipo-C 1x HDMI  1x 3.5mm Combo Audio Jack,,"DDR4 3200MHz, 8GB (4GB onboard+ 4GB), 1 khe ram tối đa nâng cấp 20GB",,,,,,15.6 inches,,,,,,,,,0,,1.80 kg,,,,,,19.990.000,,,Tấm nền IPS,,,,,,,"2-cell, 37WHrs",,,,,,,,,v4.1,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel® Core I7-1065G7,,,,Wi-Fi 5 802.11ac,,,,20.990.000,,,,,,,,,,,,,21,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-x512ja-211.html,8GB,VGA,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,,,,,,Laptop ASUS Vivobook X512JA-211 - Nhập khẩu chính hãng,,,,,,,,,,,,,,,,,,,256GB SSD + 1TB HDD
,1920 x 1080 pixels (FullHD),,,21.890.000,,,NVIDIA GeForce GTX 1650 4GB GDDR6,,Full HD,,,,0,,2 cổng Type-A USB 3.1 (Gen 1) 1 cổng Type-A USB2.0 1 cổng RJ-45 LAN 1 cổng HDMI 2.0B 1 cổng COMBO audio jack,,"DDR4 3200MHz, 2 khe cắm, hỗ trợ tối đa 32GB",,,,,,15.6 inches,,,,,360 x 262 x 25.8 ~26.9 cm,,,,0,,2.2 kg,,,,,,21.890.000,,,Tấm nền IPS,,,,,,,3 Cell 48WHr,,,,,,,,,Bluetooth 5.0,,,,27.090.000,,Có,,Windows 10 Home,5,,,Không,1,,,,,,,,,"Intel Core i5-10300H, tốc độ 2.4GHz tối đa 4.5Ghz, 8MB bộ nhớ đệm",,,,802.11AX (2X2),,,,21.990.000,,,,,,DTS Studio Sound,,,,,,,184,,,0,,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506lh.html,8GB,720p FaceTime HD camera,,,,,,,,,,,24.390.000,,Có,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",,,,"Tần số quét 144Hz, độ sáng tối đa 250nits, 45% NTSC, 63% sRGB",,20.290.000,,,Laptop ASUS Gaming FX506LH-HN002T,,,,,,,,,,25.480.000,,,,,25.990.000,,,,"512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)"
,1920 x 1080 pixels (FullHD),,,,,,Intel UHD Graphics,,Full HD,,,,0,,1 USB 3.2 Gen 1 Type-C 1 USB 3.2 Gen 1  2 USB 2.0  1 HDMI  1 headphone/microphone combo jack,,"DDR4 2666 MHz, trống 1 khe, hỗ trợ tối đa 12GB",,,,,,15.6 inches,,,,,358.14 x 231.14 x 20.32 mm,,,,0,,1.68 kg,,,,,,12.990.000,,,,,,,,,,37Whr lithium-ion,,,,,,,,,,,,,,,,,Windows 10 Home SL ,0,,,,0,,,,,,,,,Intel Core I3-1005G1 1.20 GHz up to 3.40 GHz,,,,802.11ac,,,,13.990.000,,,,,,Sonic Master,,,,,,,141,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-r564ja-uh31t.html,4GB,720p HD webcam,,,,,,,,12.990.000,,,,,Có,"Ổ cứng SSD, Viền màn hình siêu mỏng, Bảo mật vân tay",,,,60 Hz. ,,,17.790.000,,Laptop ASUS VivoBook R564JA-UH31T Nhập Khẩu Chính Hãng,,,,,,,,,,,,,,,,,,,"128GB SSD, trống 1 khe SATA"
